Rank: 0, Name: Zandevon, Trophies: 1161
Rank: 1, Name: Purveyor, Trophies: 1146
Rank: 2, Name: Tomitain, Trophies: 1135
Rank: 3, Name: KitTiara, Trophies: 1116
Rank: 4, Name: Ranma25, Trophies: 1113
Rank: 5, Name: xxxknightt, Trophies: 1103
Rank: 6, Name: Jnut, Trophies: 1101
Rank: 7, Name: kalak, Trophies: 1100
Rank: 8, Name: DiscordDo, Trophies: 1100
Rank: 9, Name: radiofreak, Trophies: 1080
Rank: 10, Name: ZEDevilions, Trophies: 1068
Rank: 11, Name: fals, Trophies: 1044
Rank: 12, Name: Adlet, Trophies: 1040
Rank: 13, Name: enominay, Trophies: 1035
Rank: 14, Name: Raquel, Trophies: 1021
Rank: 15, Name: Jnuts, Trophies: 1000
Rank: 16, Name: Beast911, Trophies: 1000
Rank: 17, Name: KaiBaka, Trophies: 1000
