Rank: 0, Name: Kalou, Trophies: 1362
Rank: 1, Name: maji, Trophies: 1285
Rank: 2, Name: SuperStormSmith, Trophies: 1284
Rank: 3, Name: Jnut, Trophies: 1267
Rank: 4, Name: Akasaka, Trophies: 1263
Rank: 5, Name: Purveyor, Trophies: 1260
Rank: 6, Name: Ichiara, Trophies: 1256
Rank: 7, Name: Blizzardus, Trophies: 1252
Rank: 8, Name: Fra, Trophies: 1251
Rank: 9, Name: niliva, Trophies: 1250
Rank: 10, Name: MaxWaifus, Trophies: 1248
Rank: 11, Name: Shirokage, Trophies: 1241
Rank: 12, Name: Hawk, Trophies: 1239
Rank: 13, Name: DarkHelix, Trophies: 1238
Rank: 14, Name: Saavi1819, Trophies: 1236
Rank: 15, Name: Agie, Trophies: 1236
Rank: 16, Name: valadanor, Trophies: 1227
Rank: 17, Name: msblast, Trophies: 1225
Rank: 18, Name: Catbac, Trophies: 1225
Rank: 19, Name: avalanche7, Trophies: 1224
Rank: 20, Name: Puass0n, Trophies: 1222
Rank: 21, Name: bioeffect, Trophies: 1222
Rank: 22, Name: Majindani, Trophies: 1221
Rank: 23, Name: off717, Trophies: 1218
Rank: 24, Name: pokera, Trophies: 1217
Rank: 25, Name: Diablo4, Trophies: 1216
Rank: 26, Name: TayoPayo5369, Trophies: 1212
Rank: 27, Name: Emfo69, Trophies: 1211
Rank: 28, Name: Jnutts, Trophies: 1209
Rank: 29, Name: Aindras, Trophies: 1208
Rank: 30, Name: Ordsanca, Trophies: 1204
Rank: 31, Name: Loco422, Trophies: 1203
Rank: 32, Name: Adlet, Trophies: 1203
Rank: 33, Name: Needstobe, Trophies: 1202
Rank: 34, Name: Shinesman, Trophies: 1201
Rank: 35, Name: Sbrillo, Trophies: 1199
Rank: 36, Name: Ebenmaw, Trophies: 1198
Rank: 37, Name: Reisball, Trophies: 1198
Rank: 38, Name: AnkokuOppai, Trophies: 1197
Rank: 39, Name: startadeadhorse, Trophies: 1196
Rank: 40, Name: Bazsi, Trophies: 1195
Rank: 41, Name: Marvin, Trophies: 1194
Rank: 42, Name: princeebon, Trophies: 1193
Rank: 43, Name: JakeCake, Trophies: 1193
Rank: 44, Name: Boristherussian, Trophies: 1191
Rank: 45, Name: Griffonchik, Trophies: 1190
Rank: 46, Name: PredatorX, Trophies: 1190
Rank: 47, Name: jcthundar, Trophies: 1190
Rank: 48, Name: darkgetzu, Trophies: 1190
Rank: 49, Name: jsx97, Trophies: 1190
Rank: 50, Name: futanari, Trophies: 1189
Rank: 51, Name: alexcampbell1096, Trophies: 1189
Rank: 52, Name: Jnuts, Trophies: 1188
Rank: 53, Name: muchas, Trophies: 1187
Rank: 54, Name: rollo, Trophies: 1187
Rank: 55, Name: SOX014, Trophies: 1187
Rank: 56, Name: Lizadon, Trophies: 1186
Rank: 57, Name: Dante1996, Trophies: 1186
Rank: 58, Name: yartil, Trophies: 1186
Rank: 59, Name: JayNaughts, Trophies: 1186
Rank: 60, Name: Toesti, Trophies: 1185
Rank: 61, Name: Lunatic, Trophies: 1184
Rank: 62, Name: Ryu, Trophies: 1183
Rank: 63, Name: metareq, Trophies: 1183
Rank: 64, Name: Bob Limol, Trophies: 1183
Rank: 65, Name: Fuckfucker, Trophies: 1183
Rank: 66, Name: RobinScher, Trophies: 1183
Rank: 67, Name: DANSLOWAS, Trophies: 1182
Rank: 68, Name: HE3HAKOM, Trophies: 1182
Rank: 69, Name: m0irino, Trophies: 1182
Rank: 70, Name: Tomitain, Trophies: 1181
Rank: 71, Name: beastie8081, Trophies: 1180
Rank: 72, Name: SmilingJack, Trophies: 1179
Rank: 73, Name: Ripper 1976, Trophies: 1179
Rank: 74, Name: 4444ehre, Trophies: 1178
Rank: 75, Name: Z_shadow, Trophies: 1178
Rank: 76, Name: Rude, Trophies: 1177
Rank: 77, Name: Sybil, Trophies: 1177
Rank: 78, Name: Warang, Trophies: 1176
Rank: 79, Name: majinsaku, Trophies: 1175
Rank: 80, Name: Walls18, Trophies: 1175
Rank: 81, Name: CrushBeast, Trophies: 1175
Rank: 82, Name: SerasAltaera, Trophies: 1175
Rank: 83, Name: Ravenvvv, Trophies: 1174
Rank: 84, Name: GoKuTieSSpow, Trophies: 1173
Rank: 85, Name: zetsurin, Trophies: 1173
Rank: 86, Name: Cliffhanger2552, Trophies: 1172
Rank: 87, Name: Stormy, Trophies: 1172
Rank: 88, Name: WhipetLegends, Trophies: 1172
Rank: 89, Name: ecko99, Trophies: 1171
Rank: 90, Name: waying, Trophies: 1170
Rank: 91, Name: Mistress, Trophies: 1170
Rank: 92, Name: chuckles, Trophies: 1170
Rank: 93, Name: Stormjin, Trophies: 1169
Rank: 94, Name: kattan, Trophies: 1169
Rank: 95, Name: heroqucas, Trophies: 1169
Rank: 96, Name: Laserbear42, Trophies: 1169
Rank: 97, Name: Doodi, Trophies: 1169
Rank: 98, Name: Foobar12, Trophies: 1168
Rank: 99, Name: Raquel, Trophies: 1168
