Rank: 0, Name: Jnuts, Trophies: 1623
Rank: 1, Name: AnkokuOppai, Trophies: 1605
Rank: 2, Name: SuperStormSmith, Trophies: 1578
Rank: 3, Name: jflawiefer, Trophies: 1566
Rank: 4, Name: Jnut, Trophies: 1557
Rank: 5, Name: Boristherussian, Trophies: 1529
Rank: 6, Name: Purveyor, Trophies: 1513
Rank: 7, Name: Waterfall38, Trophies: 1495
Rank: 8, Name: nefanefa, Trophies: 1491
Rank: 9, Name: DarkHelix, Trophies: 1488
Rank: 10, Name: Adlet, Trophies: 1480
Rank: 11, Name: Qwerty0404, Trophies: 1450
Rank: 12, Name: Catbac, Trophies: 1445
Rank: 13, Name: Kalou, Trophies: 1443
Rank: 14, Name: JayNaughts, Trophies: 1440
Rank: 15, Name: DivanNya, Trophies: 1433
Rank: 16, Name: Kamoth, Trophies: 1430
Rank: 17, Name: maji, Trophies: 1423
Rank: 18, Name: DonSatorie, Trophies: 1419
Rank: 19, Name: Marvin, Trophies: 1417
Rank: 20, Name: chuckles, Trophies: 1417
Rank: 21, Name: metareq, Trophies: 1414
Rank: 22, Name: Loco422, Trophies: 1413
Rank: 23, Name: kattan, Trophies: 1413
Rank: 24, Name: Jnutts, Trophies: 1413
Rank: 25, Name: enominay, Trophies: 1413
Rank: 26, Name: Fra, Trophies: 1401
Rank: 27, Name: Ryu, Trophies: 1401
Rank: 28, Name: muchas, Trophies: 1401
Rank: 29, Name: Copesetic, Trophies: 1398
Rank: 30, Name: Agie, Trophies: 1392
Rank: 31, Name: Falsestar, Trophies: 1391
Rank: 32, Name: Walls18, Trophies: 1389
Rank: 33, Name: sseshess, Trophies: 1388
Rank: 34, Name: Ebenmaw, Trophies: 1387
Rank: 35, Name: Bahz, Trophies: 1385
Rank: 36, Name: jsx97, Trophies: 1383
Rank: 37, Name: Alyra, Trophies: 1382
Rank: 38, Name: avalanche7, Trophies: 1377
Rank: 39, Name: Xinchan, Trophies: 1372
Rank: 40, Name: TayoPayo5369, Trophies: 1370
Rank: 41, Name: depressiv, Trophies: 1364
Rank: 42, Name: Cheat22, Trophies: 1364
Rank: 43, Name: msblast, Trophies: 1363
Rank: 44, Name: Valkrie, Trophies: 1363
Rank: 45, Name: startadeadhorse, Trophies: 1362
Rank: 46, Name: SeaL, Trophies: 1362
Rank: 47, Name: gartak, Trophies: 1361
Rank: 48, Name: niliva, Trophies: 1359
Rank: 49, Name: Aqape, Trophies: 1357
Rank: 50, Name: Doodi, Trophies: 1353
Rank: 51, Name: Crissaegrim, Trophies: 1351
Rank: 52, Name: Fierwolf, Trophies: 1348
Rank: 53, Name: m0irino, Trophies: 1346
Rank: 54, Name: Kromm69, Trophies: 1346
Rank: 55, Name: MaxWaifus, Trophies: 1345
Rank: 56, Name: Dante1996, Trophies: 1344
Rank: 57, Name: Blizzardus, Trophies: 1338
Rank: 58, Name: Ichiara, Trophies: 1337
Rank: 59, Name: lebenou83, Trophies: 1334
Rank: 60, Name: Fuckfucker, Trophies: 1333
Rank: 61, Name: Alfred, Trophies: 1329
Rank: 62, Name: SmilingJack, Trophies: 1328
Rank: 63, Name: heroqucas, Trophies: 1326
Rank: 64, Name: Hosengott, Trophies: 1324
Rank: 65, Name: Needstobe, Trophies: 1323
Rank: 66, Name: Cerria, Trophies: 1321
Rank: 67, Name: waying, Trophies: 1320
Rank: 68, Name: NerdLord2nd, Trophies: 1318
Rank: 69, Name: bezet, Trophies: 1317
Rank: 70, Name: phot, Trophies: 1317
Rank: 71, Name: predateur, Trophies: 1315
Rank: 72, Name: Stormy, Trophies: 1314
Rank: 73, Name: Fenchurch, Trophies: 1312
Rank: 74, Name: Zubatsu, Trophies: 1308
Rank: 75, Name: KingFurry, Trophies: 1306
Rank: 76, Name: Axbo, Trophies: 1305
Rank: 77, Name: Shinesman, Trophies: 1305
Rank: 78, Name: yartil, Trophies: 1305
Rank: 79, Name: Big Chungus, Trophies: 1303
Rank: 80, Name: WaleriaRus, Trophies: 1298
Rank: 81, Name: Nobody36, Trophies: 1297
Rank: 82, Name: Majindani, Trophies: 1297
Rank: 83, Name: Demon7, Trophies: 1297
Rank: 84, Name: sc0ut135, Trophies: 1297
Rank: 85, Name: warced, Trophies: 1296
Rank: 86, Name: CrushBeast, Trophies: 1296
Rank: 87, Name: Oida1234, Trophies: 1295
Rank: 88, Name: Beast911, Trophies: 1294
Rank: 89, Name: LuciferDA, Trophies: 1293
Rank: 90, Name: Akasaka, Trophies: 1293
Rank: 91, Name: ker, Trophies: 1290
Rank: 92, Name: KitTiara, Trophies: 1288
Rank: 93, Name: Velvetrix, Trophies: 1287
Rank: 94, Name: kayede, Trophies: 1285
Rank: 95, Name: ZORRO0164, Trophies: 1285
Rank: 96, Name: Metalmind, Trophies: 1285
Rank: 97, Name: Naxsul, Trophies: 1284
Rank: 98, Name: Toesti, Trophies: 1282
Rank: 99, Name: Smileyguy81, Trophies: 1282
